id,price,productDisplayName,variantName,brandName,ageGroup,gender,fashionType,season,year,usage,displayCategories,thumbnail,styleImages_default,masterCategory,subCategory,articleType,productDescriptors,description,namekor,summary,image_summary,tags
10031,119500,Nike Men As Arsenal Co Navy Blue T-Shirts,AS ARSENAL CO,Nike,Adults-Men,Men,Fashion,Fall,2011,Sports,Sports Wear,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/f891a7ec22ae36e8c14defd61bb0b7f3_images.jpg",http://assets.myntassets.com/v1/images/style/properties/f891a7ec22ae36e8c14defd61bb0b7f3_images.jpg,Apparel,Topwear,Tshirts,"<p><strong>Composition</strong><br /> Arsenal crew neck t-shirt made of 100% cotton, with short sleeves, fabric tape on inseam of the neckline, graphic print with metallic tints on the chest and Arsenal badge printed on left sleeve<br /> <br /> <span style=""font-style: normal; font-weight: bold;"">Fitting<br /> </span><span style=""font-style: normal; font-weight: normal;"">Regular<br /> <br /><strong> Wash care</strong><br /> Machine wash cold at 30 degrees with like colours<br /> Do not bleach<br /> Tumble dry low<br /> Remove immediately/do not allow to lay on itself when wet<br /> Cool iron, but do not iron on design<br /> Do not dry clean<br /> <br /> Wear the Arsenal football Club men's Soccer t-shirt like a badge of honour. A signature team design that remixes iconic Gunners' graphic to create an intimidating icon, this Arsenal T-Shirt is a must-have for fans and players alike.<br /> </span></p>","축구 팬들을 위한 완벽한 티셔츠가 있습니다! 나이키에서 출시한 아스날 남성 티셔츠는 당신의 팀 사랑을 뽐낼 수 있는 필수 아이템입니다. 

이 티셔츠는 100% 코튼 소재로 제작되어 착용감이 뛰어나며, 반팔 디자인으로 활동성도 좋습니다. 가슴 부분에는 아스날 엠블럼이 메탈릭 프린트로 인상적으로 새겨져 있고, 소매에도 팀 로고가 자랑스럽게 새겨져 있습니다. 

편안한 레귤러 핏으로 누구나 부담 없이 입을 수 있죠. 세탁도 간편해 오래오래 즐기실 수 있습니다. 팀 사랑이 가득한 이 티셔츠로 경기장에서 아스날의 열정을 보여주세요! 지금 바로 주문하여 자랑스러운 팀 컬러를 자신있게 과시해 보는 건 어떨까요?",나이키 남성 아스날 크루 네이비 블루 티셔츠,이 제품은 아스날 축구 클럽의 그래픽이 프린트된 100% 코튼 소재의 남성용 반팔 티셔츠입니다.,검정색 반팔 티셔츠에 빨간색 아스날 로고와 그래픽이 프린트되어 있습니다. 티셔츠 소재는 면으로 보이며 스포츠웨어 스타일입니다.,"['네이비 블루', '그래픽 프린트', '면', '반팔 티셔츠', '스포츠웨어', '남성복']"
53589,104500,Q&Q Men Black Dial Watch,Dial,Q&Q,Adults-Men,Men,Fashion,Winter,2016,Casual,Accessories,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Q-Q-Men-Black-Dial-Watch_29337af1724c5975637f003b2b31e8f3_images.jpg",http://assets.myntassets.com/v1/images/style/properties/Q-Q-Men-Black-Dial-Watch_29337af1724c5975637f003b2b31e8f3_images.jpg,Accessories,Watches,Watches,<p>Case style: Stainless steel round case <br />Dial style: Black dial with black and white hands<br />Strap style: Steel strap with a butterfly clasp<br />Features: Water resistant to 5 BAR that can be worn around sinks and rain splashes<br />Warranty: 1 year</p>,"시간을 멋지게 차려입힌 Q&Q 남성 블랙 다이얼 시계를 소개합니다. 이 시계는 스테인리스 스틸 라운드 케이스와 블랙 다이얼, 블랙과 화이트 핸즈로 이루어져 있어 세련되고 모던한 느낌을 줍니다. 스틸 스트랩과 버터플라이 클래스프로 편안하게 착용할 수 있죠. 5BAR 방수 기능이 있어 일상생활에서 안심하고 착용할 수 있습니다. 

이 시계는 단순한 시간 확인 기능을 넘어 당신의 스타일을 한층 업그레이드시켜 줄 것입니다. 캐주얼한 옷차림에 포인트를 주거나 정장 차림에 잘 어울리는 멋진 액세서리가 되어줄 것입니다. 1년 품질 보증으로 안심하고 구매할 수 있습니다. 지금 바로 Q&Q 남성 블랙 다이얼 시계를 겟하세요!",Q&Q 남성 블랙 다이얼 시계,"스테인리스 스틸 케이스와 블랙 다이얼, 스틸 스트랩으로 이루어진 Q&Q 브랜드의 남성용 캐주얼 시계입니다.","이 이미지는 스테인리스 스틸 소재의 원형 케이스와 블랙 다이얼, 화이트 및 블랙 바늘, 그리고 스틸 스트랩으로 구성된 Q&Q 브랜드의 남성용 아날로그 시계를 보여주고 있습니다. 다이얼에는 노란색 액센트가 있어 스포티한 느낌을 더합니다.","['스테인리스스틸', '블랙', '화이트', '노란색', '아날로그', '남성', '캐주얼', '방수']"
8242,399500,Nike Men's Mercurial Victory II Red Shoe,mercurial victory II,Nike,Adults-Men,Men,Fashion,Summer,2011,Sports,"Sports Shoes,Footwear and Clearance,Sale and Clearance,Footwear,Sale","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ced1b236e2f5ec3bfda657506aa6174f_images.jpg",http://assets.myntassets.com/v1/images/style/properties/ced1b236e2f5ec3bfda657506aa6174f_images.jpg,Footwear,Shoes,Sports Shoes,"<p style=""text-align: justify;"">This lightweight nike Mercurial Victory shoes is specially designed for those who play on hard soccer surfaces. Made of soft, supple synthetic leather, it ensures greater ball feel and offers better control. The TPU bladed cleats optimize acceleration and traction, thus making it an ideal shoe for those who want that revolutionary speed in a game. So jet set and keep the defenders running after you while you chase the ball to the goal.<br /><br /><strong>Upper</strong></p>
<ul>
<li>Soft, supple synthetic leather upper provides durable comfort and great ball feel</li>
<li>Anatomically-correct, contoured speed last mirrors the shape of the foot for an enhanced, snug Fit</li>
<li>Internal heel counter helps lock down the foot for a secure fit</li>
<li>Brushed finish reduces ball slippage for enhanced control in a variety of conditions</li>
<li>Visual acuity graphic on heel offers an optimal visual signal on the pitch</li>
</ul>
<p style=""text-align: justify;""><strong>Midsole<br /></strong></p>
<ul>
<li>Contoured EVA sockliner on the midsole provides additional cushioning under the heel and forefoot for a soft, comfortable fit and reduced stud pressure</li>
<li>Lightweight, two-piece TPU plate with Vapor Traction Islands for durable support</li>
<li>Forefoot grip zones inspired by racing spikes provides perfect toe-off traction and extra speed burst</li>
</ul>
<p style=""text-align: justify;""><strong>Outsole<br /></strong></p>
<ul>
<li>Vapor Traction system with multi-directional stud pattern and secondary traction elements for instant acceleration and quick change-of-direction movements</li>
<li>Built on a TPU with molded studs for lightweight comfort and traction</li>
</ul>
<p style=""text-align: justify;""><strong>Shoe care<br /></strong>Wipe surface with damp, clean cloth to remove dust<br />Do not machine wash<br />Do not store in direct sunlight</p>","축구화 마니아들을 위한 혁신적인 속도의 신발이 여기 있습니다! 나이키 머큐리얼 빅토리 II는 경기장에서 가장 빠른 선수가 되고 싶은 분들을 위해 특별히 설계되었습니다. 부드러운 합성 가죽 소재로 만들어져 뛰어난 볼 터치감과 제어력을 자랑합니다. TPU 블레이드 스터드가 가속력과 트랙션을 최적화해 줍니다. 이 신발을 신고 수비수들을 따돌리며 골대를 향해 질주하세요. 

가벼운 무게와 인체공학적 디자인으로 발에 꼭 맞는 착용감을 선사합니다. 미드솔의 EVA 인솔과 TPU 플레이트가 충격을 완벽히 흡수해 줍니다. 아웃솔의 다방향 스터드 패턴은 순간적인 가속과 방향 전환에 탁월한 기능을 발휘합니다. 이 신발 한 켤레로 그라운드를 화염처럼 달리세요! 나이키 머큐리얼 빅토리 II가 당신의 스피드 게임을 완성해 줄 것입니다.",나이키 남성 머큐리얼 빅토리 II 레드 신발,"이 신발은 경량 나이키 머큐리얼 빅토리 축구화로, 하드 코트에서 플레이하기에 적합하게 디자인되었습니다.",이미지는 보라색과 흰색으로 이루어진 나이키 브랜드의 축구화를 보여주고 있습니다. 신발 앞코 부분에는 흰색 스트라이프가 있고 밑창에는 다수의 스터드가 있어 그립력을 높였습니다. 전체적으로 경량 소재와 유연한 디자인으로 제작된 것으로 보입니다.,"['보라색', '축구화', '나이키', '경량', '스터드', '유연한 디자인']"
6688,59900,UCB Women's V Neck Black T-shirt,Basic V neck tee,United Colors of Benetton,Adults-Women,Women,Fashion,Summer,2011,Casual,"Casual Wear,Sale","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/07d313ec9c6dac1bf0e96188ea300c0b_images.jpg",http://assets.myntassets.com/v1/images/style/properties/07d313ec9c6dac1bf0e96188ea300c0b_images.jpg,Apparel,Topwear,Tshirts,"<p><strong>Composition</strong><br />White V-neck t-shirt made of 100% cotton, with short sleeves, ribbed neckline and Big Ben logo embellishment on left chest with genuine Swarovski crystals<br /><strong><br />Fitting<br /></strong>Comfort<br /><br /><strong>Wash care<br /></strong></p>
<ul>
<li>Delicate machine wash at 30 degrees</li>
<li>Use mild detergent</li>
<li>Do not tumble dry</li>
<li>Do not wring</li>
<li>Do not bleach</li>
<li>Do not dry clean</li>
<li>Do not dry in direct sunlight</li>
<li>Dry flat in shade</li>
<li>Warm iron</li>
<li>Do not iron directly on print/embroidery</li>
</ul>
<p style=""text-align: justify;"">With subtle style and comfort rolled into one, this cotton top from the united colors of benetton is designed with a small Big Ben logo with genuine Swarovski crystals. Team this with jeans and casual footwear for that relaxed look.<br /><em><br />Model statistics<br /></em>The model wears size M in t-shirts<br />Height-5.6"", Chest-32""</p>","여성 여러분, 이번 여름 스타일리시한 모습으로 돋보이세요! 유나이티드 컬러스 오브 베네통의 블랙 V넥 티셔츠를 소개합니다. 이 티셔츠는 100% 순면으로 제작되어 부드럽고 통기성이 좋아 더운 날씨에도 쾌적한 착용감을 선사합니다. 

단정하면서도 세련된 V넥 디자인과 베네통 특유의 빅벤 로고가 가슴팍에 스와로브스키 크리스털로 장식되어 있어 고급스러운 분위기를 자아냅니다. 이 티셔츠 하나만으로도 당신의 스타일을 한층 업그레이드시켜 줄 것입니다.

데님에 깔끔하게 매치하거나 캐주얼한 바텀스와 함께 입으면 편안하면서도 트렌디한 룩을 연출할 수 있습니다. 이번 시즌 유나이티드 컬러스 오브 베네통의 블랙 V넥 티셔츠로 당신만의 스타일을 완성해보세요!",유나이티드 컬러스 오브 베네통 여성 V넥 블랙 티셔츠,베네통 브랜드의 여성용 캐주얼 V넥 반팔 블랙 티셔츠입니다.,이미지는 검은색 반팔 V넥 티셔츠를 입은 여성 모델을 보여주고 있습니다. 티셔츠는 코튼 소재로 만들어졌으며 가슴 부분에 스와로브스키 크리스털 장식이 있습니다.,"['블랙', 'V넥', '반팔', '코튼', '캐주얼', '여성복', '티셔츠', '크리스털 장식']"
44816,189900,Spykar Women Blue Jeans,WOMENS BASIC DENIM,SPYKAR,Adults-Women,Women,Fashion,Summer,2012,Casual,Casual Wear,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Spykar-Women-Blue-Jeans_5fc311f8b921473c3c22a564b102f353_images.jpg",http://assets.myntassets.com/v1/images/style/properties/Spykar-Women-Blue-Jeans_5fc311f8b921473c3c22a564b102f353_images.jpg,Apparel,Bottomwear,Jeans,"<p>Washed blue jeans with two side pockets with an insert pocket in the right pocket, two patch pockets on the back with embroidery, comfortable waistband with belt loops, brand badge appliqued on the waistband at the back and zipper and button closure on the front</p>","여성을 위한 스파이커의 블루 진, 당신의 캐주얼 스타일을 완성하세요!

청바지는 우리 옷장의 필수품입니다. 스파이커의 이 블루 진은 여유로운 착용감과 세련된 디자인으로 당신의 일상 룩을 한층 업그레이드해 줄 것입니다. 부드러운 워싱 효과로 винтаж한 느낌을 자아내며, 앞면의 지퍼와 버튼 디테일이 실용성을 더해줍니다. 

양쪽 힙 부분에 패치 포켓이 있어 작은 소지품을 간편하게 넣을 수 있고, 뒷면 포켓에는 브랜드 로고 자수가 포인트를 줍니다. 허리 벨트 고리가 있어 벨트를 매치하면 개성 있는 스타일을 연출할 수 있습니다.

이 청바지 하나로 데님 룩을 완성할 수 있습니다. 캐주얼한 티셔츠나 블라우스를 매치해 편안하면서도 스타일리시한 데일리 룩을 완성해보세요. 여름 시즌 내내 활용할 수 있는 스파이커 청바지를 지금 만나보세요!",스파이커 여성 블루 진,편안한 착용감과 캐주얼한 스타일의 여성용 블루 데님 진바지입니다.,이미지는 밝은 블루 컬러의 일반적인 스트레이트 핏 데님 진바지를 보여주고 있습니다. 허리 부분에 벨트 고리가 있고 앞면에 지퍼와 단추 여밈이 있는 것이 특징입니다.,"['블루', '데님', '스트레이트 핏', '캐주얼', '여성용', '진바지', '지퍼', '단추']"
49552,239000,Rocia Women Black Handbag,HANDBAGS,Rocia,Adults-Women,Women,Fashion,Summer,2012,Casual,Accessories,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ad9e93c2ec455da2b5cebf152ba2ea12_images.jpg",http://assets.myntassets.com/v1/images/style/properties/ad9e93c2ec455da2b5cebf152ba2ea12_images.jpg,Accessories,Bags,Handbags,<p>Black handbag with an embroidered patch on the mouth and a textured design on the rest of the bag<br />One zipped compartment with an inner zipped pocket and a mobile pouch<br />Two short handles woven through buckles for ca</p>,"여성분들께 멋진 로샤 핸드백을 소개합니다. 이 가방은 여름 시즌에 딱 어울리는 캐주얼한 스타일로, 화려한 자수 패턴과 섬세한 텍스처가 돋보이는 디자인입니다. 지퍼 포켓과 휴대폰 수납공간이 있어 실용성도 갖추었죠. 가벼운 소재와 튼튼한 버클 손잡이로 데일리 백으로 활용하기에 안성맞춤입니다. 

로샤의 이 블랙 핸드백은 여성스러우면서도 모던한 분위기를 자아내어, 다양한 스타일의 의상과 잘 어울립니다. 여름 나들이나 데이트, 쇼핑 등 어디서든 당신의 개성을 돋보이게 해줄 것입니다. 지금 바로 로샤 핸드백으로 여름 패션에 포인트를 더해보세요!",로시아 여성 블랙 핸드백,꽃무늬 패턴과 퀼팅 디자인이 있는 블랙 핸드백입니다.,이 이미지는 상단에 꽃무늬 패턴이 있고 하단에는 퀼팅 디자인이 있는 블랙 핸드백을 보여주고 있습니다. 가죽 소재로 만들어진 것으로 보이며 짧은 손잡이가 달려 있습니다.,"['블랙', '꽃무늬', '퀼팅', '가죽', '핸드백']"
35470,149500,Catwalk Women Ruffles Blue Wedges,Ruffels,Catwalk,Adults-Women,Women,Fashion,Winter,2015,Casual,Footwear,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/860de434692c700d6728ac29e074ce9f_images.jpg",http://assets.myntassets.com/v1/images/style/properties/860de434692c700d6728ac29e074ce9f_images.jpg,Footwear,Shoes,Heels,"<p><strong>Style Note</strong><br />Flowery and flouncy for the summer, catwalk serves up another stylish sandal for women. We love the blue and the innovative design details on this pair!<br /><br /><strong>Product Details</strong><br />Thong style straps made of ruched floral fabric<br />Fabric footbed<br />Tough wedge heel<br />TPU outsole with a floral lug at the heel<br /><br /><strong>Material and Care</strong><br />Synthetic, fabric<br />Do not machine wash or store in direct sunlight<br />Remove dust with a dry clean cloth</p>","여름을 위해 화려하고 풍성한 캐트워크 웨지 샌들을 소개합니다! 

이 신발은 푸른 바다 빛깔의 상쾌한 컬러와 혁신적인 디자인으로 여성들의 마음을 사로잡을 것입니다. 러플 장식의 꽃무늬 스트랩이 발가락을 감싸고, 부드러운 패브릭 풋베드가 편안함을 더합니다. 단단한 웨지 힐과 TPU 아웃솔의 꽃무늬 디테일이 스타일리시한 무드를 완성합니다.  

합성 소재와 패브릭으로 제작되어 가벼우면서도 내구성이 뛰어납니다. 기계 세탁은 피하고 건조한 천으로 먼지를 털어내시면 됩니다. 

이번 여름, 캐트워크 웨지 샌들로 화사하고 트렌디한 스타일을 완성해보세요! 발걸음마다 러블리한 무드가 물씬 풍기는 이 신발은 당신의 여름 스타일에 활력을 불어넣을 것입니다.",캣워크 여성 러플 블루 웨지,이 제품은 꽃무늬 러플 장식과 웨지 힐이 특징인 캐주얼 여성 샌들입니다.,이미지는 청록색 가죽과 꽃무늬 직물로 만든 오픈토 웨지 힐 샌들을 보여주고 있습니다. 발등 부분에 러플 장식이 있고 밑창은 꽃무늬 패턴입니다.,"['웨지힐', '오픈토', '러플', '꽃무늬', '청록색', '가죽', '직물', '캐주얼', '여성화']"
31733,599500,Reid & Taylor Men Charcoal Grey Blazer,Foarmal,Reid & Taylor,Adults-Men,Men,Fashion,Summer,2012,Formal,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/ce35dbfe74af74ea9c9a25b0c3d5995b_images.jpg",http://assets.myntassets.com/v1/images/style/properties/ce35dbfe74af74ea9c9a25b0c3d5995b_images.jpg,Apparel,Topwear,Blazers,"<p><strong>Composition</strong><br /> Charcoal grey blazer made of a polyester wool blend with a dobby weave, has 100% acetate lining, long sleeves with decorative four button cuffs, shoulder pads, a notched lapel, single breasted two button front , pocket on the left chest, two flap pockets on either side of the waist, two buttonable welt pockets in the left inner lining and one on the right, and a vent at the centre back hem<br /> <br /> <strong>Fit</strong><br /> Reid and Taylor's Classic Fit <br /> <br /> <strong>Wash care</strong> <br /> Dry clean only<br /> <br /> This blazer from Reid and Taylor is the perfect piece when you need a versatile top layer to polish up casual outfits or give a friendly air to your formals. It's a unique mix of a formal blazer with contemporary styling &ndash; crossing that tricky line between smart and relaxed. Pair it with jeans and suede shoes, or wear unbuttoned with a monochrome shirt, chinos and ankle boots for a subtle touch of class.<br /> <br /> <strong> Model statistics</strong> <br /> The product is a size 40 on a model of height 6' and shoulders 18&rdquo;</p>","당신의 품격을 높여줄 Reid & Taylor의 매력적인 블레이저를 소개합니다. 

이 블레이저는 폴리에스터와 울 혼방 소재로 제작되어 고급스러운 느낌을 자아내며, 도비 직조로 독특한 텍스처를 지녔습니다. 아세테이트 100% 안감이 부드러운 착용감을 선사하고, 장식 단추가 달린 긴 소매와 어깨 패드가 있어 날렵한 실루엣을 연출합니다. 

노치드 라펠과 싱글 브레스티드 2단 버튼 여밈이 고전적인 분위기를 자아내는 가운데, 웨이스트 라인 양쪽에 플랩 포켓이 실용성을 더합니다. 안감 안쪽에는 버튼 포켓이 있어 작은 소지품도 안전하게 보관할 수 있습니다.

이 블레이저는 캐주얼한 룩에 포인트를 주거나 정장 차림에 편안함을 더해줄 수 있는 유연한 아이템입니다. 진과 스웨이드 슈즈를 매치하면 스타일리시한 데일리 룩이 완성되고, 모노크롬 셔츠와 치노 팬츠, 앵클 부츠를 곁들이면 세련된 오피스 룩을 연출할 수 있습니다. 품격 있는 남성미를 한껏 발산할 Reid & Taylor 블레이저로 스타일을 업그레이드해보세요.",리드 앤 테일러 남성 차콜 그레이 블레이저,이 제품은 클래식한 디자인의 폴리에스터 울 혼방 차콜 그레이 색상의 남성용 정장 블레이저입니다.,"이미지는 남성 모델이 입은 차콜 그레이 색상의 단추 2개 형태의 싱글 브레스티드 블레이저를 보여주고 있습니다. 블레이저는 노치드 라펠과 포켓, 장식용 단추 커프스 디테일이 있는 긴 소매 디자인입니다.","['차콜 그레이', '울 혼방', '싱글 브레스티드', '노치드 라펠', '포켓 디테일', '긴 소매', '남성복', '정장', '블레이저']"
4861,299500,Nike Men Arsenal Yellow Jersey,arsenal jersey,Nike,Adults-Men,Men,Fashion,Summer,2011,Sports,"Sports Wear,Sale","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/11eec703c18ea5df5c1f527cbfcea2e9_images.jpg",http://assets.myntassets.com/v1/images/style/properties/11eec703c18ea5df5c1f527cbfcea2e9_images.jpg,Apparel,Topwear,Tshirts,"<p><p style=""text-align: justify;""><strong>Composition</strong><br />Yellow V-neck t-shirt made of Dri-Fit 100% recycled polyester, with maroon ribbed crew neck, yellow sleeves with maroon cuff, perforated stripe design on the body, appliqued club badge on the left chest, embroidered swoosh logo on the right chest, sponsor logo on the front and club name at center back neck <br /><strong><br />Fitting</strong><br />Regular <br /><strong>&nbsp;<br />Wash care</strong></p>
<br/><ul>
<br/><li>Machine wash cold</li>
<br/><li>Wash separately</li>
<br/><li>Do not use softeners</li>
<br/><li>Remove immediately</li>
<br/><li>Do not allow to lay on itself when wet</li>
<br/><li>Do not bleach</li>
<br/><li>Line dry</li>
<br/><li>Do not iron</li>
<br/><li>Do not dry clean</li>
<br/></ul>
<br/><p style=""text-align: justify;"">Play with honour in the Arsenal football Club home men's Soccer shirt, a lightweight, short-sleeve jersey designed for maximum performance. The bold jersey design with the team badge is inspired by the successful achievements of the team. The Dri-FIT performance fabric ensures breathability and comfort on and off the field. <br /><br />This sweat-wicking Dri-FIT fabric was made from the equivalent of eight recycled plastic bottles thereby the production of this jersey has minimal environmental impact.</p>","아스날 축구 유니폼의 역사와 자부심을 느낄 수 있는 나이키 남성 아스날 옐로우 저지를 소개합니다. 이 가벼운 반팔 저지는 최고의 성능을 위해 디자인되었습니다. 

강렬한 팀 배지 디자인은 아스날의 성공적인 업적에서 영감을 받았습니다. Dri-FIT 성능 원단은 통기성과 착용감을 보장하여 경기장 안팎에서 활동하기에 이상적입니다. 

환경 보호에도 힘썼습니다. 이 저지는 재활용 플라스틱 병 8개로 만들어져 생산 과정의 환경 영향을 최소화했습니다. 아스날의 자랑스러운 역사를 품은 나이키 저지로 경기장을 누비세요!",나이키 남성 아스날 노란색 저지,나이키에서 제작한 아스날 축구팀의 노란색 유니폼 저지입니다.,이 이미지는 노란색 바탕에 붉은색 트리밍이 있는 축구 유니폼 저지를 보여주고 있습니다. 앞면에는 아스날 팀 로고와 'Fly Emirates' 스폰서 로고가 새겨져 있습니다. 소재는 Dri-Fit 100% 재활용 폴리에스터로 제작되었습니다.,"['노란색', '축구유니폼', '폴리에스터', 'Dri-Fit', '아스날', '스포츠웨어']"
15671,103900,Highlander Men High Original Blue Jeans,High Original,HIGHLANDER,Adults-Men,Men,Fashion,Fall,2011,Casual,Casual Wear,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/5db2355db50e8758de9596d8e3e6b27a_images.jpg",http://assets.myntassets.com/v1/images/style/properties/5db2355db50e8758de9596d8e3e6b27a_images.jpg,Apparel,Bottomwear,Jeans,"<p><strong>Composition</strong><br /> Distressed navy blue denim jeans, is a five pocket set, has a straight leg, mock crease details, brown and beige stitch detailing along the pockets, and a zipper fly<br /> <br /> <span style=""font-style: normal; font-weight: bold;"">Fitting<br /> </span><span style=""font-style: normal; font-weight: normal;"">Regular<br /> <br /> </span><span style=""font-style: normal; font-weight: bold;"">Wash care<br /> </span><span style=""font-style: normal; font-weight: normal;"">Wash separately inside out<br /> Do not dry clean<br /> Do not iron<br /> <br /> Take a style tip from the vintage Americana and team this classic, pre-aged locomotive  jeans with a shirt and formal blazer for an impeccable smart-casual style. <br /> <br /> </span><span style=""font-style: italic; font-weight: normal;"">Model statistics<br /> </span><span style=""font-style: normal; font-weight: normal;"">The model wears trousers of length 41""<br /> Height: 6', Waist: 32""</span></p>","빈티지 아메리카나 스타일의 매력에 푹 빠져보세요! 하이랜더의 하이 오리지널 블루 진은 세월의 흔적이 고스란히 배어있는 디스트레스드 데님으로 제작되었습니다. 5포켓 스타일에 스트레이트 핏 라인으로 편안한 착용감을 자랑하며, 포켓 주변의 브라운과 베이지 스티치 디테일이 멋스러운 포인트를 더합니다. 

이 클래식한 데님 진은 캐주얼한 무드와 세련된 스타일을 동시에 연출할 수 있는 만능 아이템입니다. 셔츠나 블레이저 재킷과 매치하면 완벽한 스마트 캐주얼 룩을 완성할 수 있습니다. 빈티지한 멋과 편안함을 동시에 잡은 하이랜더 하이 오리지널 진으로 당신만의 스타일을 과시해보세요!",하이랜더 남성 하이 오리지널 블루 진,남성용 캐주얼 스트레이트 핏 데님 청바지로 빈티지 워싱 효과가 있습니다.,이 이미지는 남성용 스트레이트 핏 청바지로 중청색 데님 소재에 빈티지 워싱 효과가 있습니다. 5개의 포켓이 있고 지퍼 플라이 디자인입니다.,"['남성', '청바지', '데님', '스트레이트 핏', '빈티지', '워싱 효과', '5포켓', '지퍼 플라이', '중청색']"
